,site.latitude (deg),site.longitude (deg),dri_grid_feedstock.price (USD/MW/h),hydrogen_feedstock.price (USD/kg),finance_subgroup_sponge_iron.LCOS (USD/kg)
106,45.655,-91.509,57.3754534,7.688712794,0.7770551473741726
107,45.214,-93.571,53.92479583,7.289779539,0.7526335137772536
108,45.13,-97.311,49.28337615,6.730451436,0.7184139655659812
109,46.687,-94.308,56.89453535,7.306322654,0.7539486147336121
110,41.132,-94.603,47.77765227,6.048935135,0.6771628752538034
111,39.576,-75.832,62.4785284,9.366275257,0.8787447277024857
112,38.181,-76.546,58.79155946,9.623913824,0.8938838794250723
113,43.921,-89.498,58.71964476,7.142340337,0.7442570216888924
114,41.044,-81.142,59.94867282,8.400766071,0.8202615681393521
115,40.689,-84.735,57.02486778,7.433518345,0.7616314463899181
116,46.452,-87.296,58.31682922,8.019475965,0.7970982406122871
117,39.151,-84.003,58.97234189,8.56742661,0.8302054332475483
118,42.183,-79.815,54.61601031,8.138823811,0.8038980790234161
119,38.229,-79.09,74.59578716,10.75220945,0.9636017701094721
120,41.2,-81.696,60.48322232,8.863916105,0.8482430178667362
121,42.78,-72.612,63.22770852,9.526568209,0.8884892613562916
122,41.398,-80.761,66.17442447,9.515075117,0.8881115388772767
123,40.833,-79.277,64.71334103,9.426644773,0.8826235949458531
124,40.979,-76.57,66.7885506,9.569792467,0.8914762553862173
125,39.553,-88.223,55.60630495,7.02909285,0.7370960540482265
126,42.498,-94.721,47.28725229,6.235183862,0.6883397340592734
127,42.955,-92.758,52.48840608,6.984380936,0.7340667492369173
128,43.395,-72.683,64.51809282,10.60738288,0.9537918353282444
129,44.34,-88.065,51.31168453,6.54155783,0.7072421565638893
130,40.009,-89.462,55.25405478,6.912022481,0.7299999596091027
131,39.417,-86.099,55.95759231,7.854978823,0.7869279947667545
132,38.024,-87.285,59.53868666,8.559414763,0.8297829662448206
133,41.321,-76.165,56.91217926,8.245658412,0.8105849852022322
134,41.428,-95.036,49.12946551,6.172112024,0.6847340707987057
135,39.597,-81.475,64.64281089,9.622144928,0.8944031561788471
136,41.496,-86.362,56.17204566,7.024954408,0.7369070579740638
137,42.894,-90.659,53.16976553,6.681489673,0.715877699800066
138,42.209,-95.172,49.93455623,6.639947411,0.7130269507479543
139,40.386,-79.688,63.86411489,9.17986164,0.8676536883118218
140,41.225,-97.815,48.29404304,6.887453274,0.727774096858826
141,43.101,-88.679,53.03067508,6.615076123,0.7118586114493455
142,46.066,-92.269,61.42938904,8.143522162,0.8049102012304439
143,45.91,-90.383,57.83685565,7.028809928,0.7373176052605699
144,43.227,-75.538,75.42836767,11.27986223,0.9955041042695535
145,39.397,-91.23,52.56550712,6.798847242,0.7228887893273872
146,46.698,-85.008,52.72711292,8.005433585,0.7956536467902895
147,45.715,-94.651,51.03142157,6.844917182,0.7255023346260833
148,41.506,-82.813,57.09718467,8.717754935,0.839068445283003
149,38.304,-95.361,49.92079696,6.722028795,0.7179743341809952
150,41.931,-91.037,51.68681366,6.799257548,0.7228195308621941
151,40.544,-84.178,56.15485391,7.723515068,0.779022876545678
152,45.835,-91.022,57.09875181,7.290884745,0.7530396771670822
153,39.502,-74.69,56.79142229,7.973092397,0.7941385023155882
154,43.939,-72.942,53.32671274,7.618989204,0.772418262090274
155,40.148,-75.65,57.84709107,8.235350996,0.8100635404256835
156,38.306,-95.919,50.14571571,6.834479039,0.7247782507398759
157,41.198,-92.702,53.31606401,6.841342284,0.7255311922077989
158,39.353,-93.221,54.7802893,7.195586393,0.7470459303320816
159,44.837,-72.907,71.3194361,10.52109026,0.9493166374503909
160,43.11,-72.172,55.36600246,8.888975195,0.8492064764779048
161,46.146,-91.63,58.13416581,7.454519634,0.7630163224256317
162,39.967,-96.347,44.02907256,6.097882312,0.6797130035422609
163,39.274,-97.619,47.07840636,6.545498265,0.7070268861465581
164,43.562,-86.491,55.70970331,7.118851599,0.7425188543203365
165,41.271,-75.133,53.47236237,8.024438305,0.7968792021342859
166,43.286,-85.319,56.6952872,7.755424106,0.7810045498969145
167,42.129,-88.793,54.14661409,6.501983191,0.7051593817643298
168,44.621,-89.886,55.26646759,7.024110613,0.7367593112496204
169,42.207,-90.569,52.58770358,6.642200034,0.7134465816971742
170,46.499,-95.111,51.92864537,6.996419759,0.7347327152154418
171,40.758,-87.057,56.8555571,7.130380178,0.7433365116920051
172,39.281,-95.209,51.4771514,6.880614986,0.7277023097320758
173,41.723,-95.473,46.69607968,5.867770467,0.666124385865993
174,40.707,-92.583,49.05015761,6.560043716,0.7081147858300805
175,40.374,-82.319,60.10662274,8.505918307,0.8266183089290982
176,41.971,-92.366,50.3678127,6.495398503,0.7043581468924107
177,40.181,-84.535,56.35996593,7.778285957,0.7823470674798108
178,42.24,-76.323,69.36892469,11.02959371,0.9797667028885654
179,40.26,-95.917,48.50109937,6.553833735,0.7076816387944875
180,45.441,-88.545,55.8526599,6.659344602,0.7148295257785313
181,41.361,-72.544,53.88391198,7.614258476,0.7721926421678089
182,43.881,-74.532,58.37302204,7.950019899,0.7929166027975763
183,46.375,-93.045,55.3918541,7.021579046,0.7366200908703626
184,39.137,-85.003,61.51175413,8.628449283,0.8341562646653646
185,38.756,-81.946,71.72107525,11.3668183,1.0003502834532285
186,42.59,-72.069,58.97538041,8.411540943,0.8208070911028469
187,43.181,-97.27,46.43618932,6.279777875,0.6909373578020452
188,41.458,-91.515,56.16438589,7.233361486,0.7494715295616861
189,39.967,-95.487,48.87948543,6.733395312,0.7185482524138901
190,41.804,-77.515,51.04981458,7.993755204,0.7947701072205657
191,45.497,-89.795,58.81570232,7.355118333,0.7570961198796715
192,44.925,-74.149,55.02626753,8.029748129,0.7973655685519014
193,43.338,-89.56,58.18240607,7.195248869,0.74738951565689
194,43.168,-90.182,69.10016634,8.273254796,0.8135526159606656
195,41.631,-76.967,53.70716911,8.213743211,0.8083179019399955
196,46.413,-88.42,55.17809147,6.749316878,0.7201819784299868
197,40.054,-97.782,45.34490702,6.438691013,0.7004018194676559
198,43.846,-87.977,52.44338023,6.439618227,0.7012170695466171
199,38.041,-80.831,54.10203166,9.966578887,0.9140422063719453
200,40.263,-86.981,54.62289587,7.055294044,0.7385705794514015
201,41.287,-77.37,61.45616063,9.527505315,0.8883562532440348
202,42.585,-90.237,52.96659442,6.53500173,0.7070239068408732
203,40.654,-90.846,51.16622167,6.625098277,0.712263421147955
204,40.577,-81.398,62.90874286,9.207572255,0.8692222190216685
205,46.361,-84.431,60.67660851,8.526102871,0.8278962509744834
206,44.053,-97.747,49.14434791,7.507503977,0.7652491876919038
207,40.592,-75.951,52.92795272,7.774752517,0.7817668956631636
208,39.147,-79.282,50.22245241,7.648694799,0.7738772007716359
209,38.644,-76.981,60.48685661,9.107058567,0.8629029652934552
210,42.699,-95.913,47.57093505,6.650574037,0.7134148077286483
211,40.276,-80.446,64.19364001,9.581061709,0.8918781152361044
212,46.002,-94.17,55.75347218,7.786657918,0.7827869516303637
213,43.769,-95.151,47.31078488,6.411883727,0.6989958493683212
214,42.828,-83.285,54.80541876,7.452960164,0.7625662120288659
215,42.306,-85.339,58.19811541,7.738857599,0.7801664835008524
216,45.817,-96.539,52.01958202,7.034215719,0.7370212390937694
217,40.981,-72.087,47.38085805,7.581109738,0.769498384106217
218,43.651,-84.949,58.31734328,7.714266851,0.7786966109612123
219,41.872,-78.847,60.19990006,8.838877034,0.8467030529339912
220,46.915,-88.676,67.92832932,8.509743044,0.827685623216472
221,39.504,-82.503,62.72090253,9.020945412,0.8579500092846389
222,43.257,-93.195,49.55256088,6.489928825,0.7039411586648816
223,44.479,-73.84,52.15043129,7.442068835,0.761625538900021
224,42.826,-91.565,59.4002971,7.739153402,0.7803129193019369
225,44.842,-88.309,55.48362361,6.686331923,0.7164171698212356
226,38.398,-82.306,73.80592548,11.82468489,1.0281790241254374
227,38.559,-92.694,54.07315132,7.553252188,0.7685346912444879
228,38.871,-90.281,61.39907598,8.596880991,0.8322408939296524
229,40.71,-78.279,54.11497403,8.092009937,0.8010219769070153
230,39.423,-92.081,54.44194101,7.065610102,0.7391731984644833
231,38.36,-87.942,57.52916359,8.269603142,0.8120946629690565
232,41.354,-82.253,57.40390246,8.417149907,0.8209771610324113
233,46.891,-95.586,53.30603106,7.280094675,0.7519834021741838
234,38.215,-83.47,69.11204086,11.06497821,0.9818726274163571
235,46.464,-89.532,58.93365468,8.421302272,0.8213911581511268
236,40.153,-94.337,52.71937502,6.621701616,0.7122247752710275
237,43.952,-93.927,50.3826438,7.098541588,0.740724469385263
238,41.477,-79.7,67.09750132,9.147615079,0.8660553626020467
239,44.209,-87.467,49.98534113,6.881160634,0.7275756242430781
240,45.683,-92.608,58.93381438,8.131030545,0.8038900963493776
241,38.781,-85.488,58.86544535,8.621361921,0.8334458689108928
242,38.312,-91.028,56.97321059,7.501142865,0.7657031417236562
243,38.394,-94.381,51.87572104,7.152864578,0.7441594333380126
244,39.663,-79.437,69.29531546,10.89040654,0.9713669481851367
245,39.766,-97.345,42.92463511,6.337007398,0.694012201127602
246,41.456,-87.252,56.3357236,7.228621813,0.7492040934814435
247,42.671,-84.974,53.8034778,7.360343995,0.7568750120501707
248,43.626,-83.423,55.47191027,7.218286342,0.7484885418151543
249,39.601,-76.697,59.55842892,8.826842537,0.8459088481558446
250,40.484,-91.583,55.66062144,7.073695945,0.7397910767076156
251,43.058,-78.818,60.18058271,8.416316597,0.8212239494504079
252,39.774,-85.614,55.68656489,7.905718462,0.7899581991922577
253,44.738,-85.058,55.53773575,6.899077298,0.7292498141886059
254,42.697,-95.315,46.20799873,6.522319229,0.7055362641414376
255,43.318,-91.681,60.29937338,7.941027819,0.7925805197969588
256,45.329,-96.691,55.47259022,7.463930658,0.7632990151251836
257,38.641,-83.814,60.57997087,9.123808323,0.8639228032317893
258,43.979,-84.119,57.67525746,7.819865712,0.7849946973014246
259,38.273,-85.287,59.41725858,9.221892556,0.8697121241255137
260,45.957,-87.211,59.58845316,7.991027496,0.7955190536495106
261,44.231,-93.15,50.27937146,6.880228229,0.7275508609968946
262,42.148,-77.109,71.95034062,10.18256687,0.9289738565323558
263,40.732,-81.948,69.01805433,9.905469252,0.911953395682229
264,39.755,-77.816,74.23476878,10.95687645,0.9759029448056654
265,42.672,-93.222,48.05948121,6.218271332,0.6874026506767649
266,40.894,-83.673,55.49143481,7.454978894,0.7627613107454216
267,44.221,-75.509,60.33804381,8.662683514,0.8360947612420409
268,38.896,-84.476,66.60599183,9.370482382,0.8794399119122656
269,46.089,-87.827,58.48668279,7.39889306,0.7597001918467802
270,40.746,-83.117,58.80303859,7.980298909,0.7947881867784661
271,41.954,-91.775,52.07035902,6.652528575,0.7140139686510614
272,43.576,-96.216,51.52767309,6.976484606,0.733487890586659
273,45.628,-86.63,51.75128766,6.987551269,0.7341790432068733
274,46.495,-97.342,54.66545581,7.563494232,0.7692155658336841
275,46.388,-93.84,54.3237267,7.151761193,0.7443547790044277
276,45.12,-90.146,53.49276942,6.798092341,0.7229424670165495
277,43.425,-85.904,59.15579168,7.506765541,0.7662756221114057
